,Date,Pietons,TIM,TC,Swisscom
0,2018-09-12 00:00:00,1.0,39.0,2.8,47
1,2018-09-12 01:00:00,0.0,15.0,0.0,0
2,2018-09-12 02:00:00,0.0,9.0,0.0,0
3,2018-09-12 03:00:00,0.0,15.0,0.0,0
4,2018-09-12 04:00:00,1.0,18.0,0.0,0
5,2018-09-12 05:00:00,2.0,38.0,1.0,72
6,2018-09-12 06:00:00,23.0,229.0,8.8,326
7,2018-09-12 07:00:00,102.0,509.0,38.4,918
8,2018-09-12 08:00:00,164.0,574.0,21.400000000000002,846
9,2018-09-12 09:00:00,220.08267847931174,509.0,21.8,475
10,2018-09-12 10:00:00,183.0,506.0,26.8,506
11,2018-09-12 11:00:00,184.0,545.0,77.2,607
12,2018-09-12 12:00:00,228.0206126565936,492.0,102.6,624
13,2018-09-12 13:00:00,151.0,494.0,35.400000000000006,638
14,2018-09-12 14:00:00,141.0,524.0,49.199999999999996,620
15,2018-09-12 15:00:00,148.0,565.0,92.0,684
16,2018-09-12 16:00:00,235.25968944976475,595.0,100.39999999999999,850
17,2018-09-12 17:00:00,236.19762362704665,619.0,107.60000000000001,1189
18,2018-09-12 18:00:00,135.0,647.0,66.0,1083
19,2018-09-12 19:00:00,94.0,506.0,48.800000000000004,688
20,2018-09-12 20:00:00,42.0,298.0,52.6,432
21,2018-09-12 21:00:00,24.0,204.0,14.2,287
22,2018-09-12 22:00:00,26.0,191.0,12.8,235
23,2018-09-12 23:00:00,6.0,106.0,8.0,163
24,2018-09-13 00:00:00,3.0,44.0,0.0,80
25,2018-09-13 01:00:00,0.0,20.0,0.0,24
26,2018-09-13 02:00:00,1.0,8.0,0.0,0
27,2018-09-13 03:00:00,0.0,14.0,0.0,22
28,2018-09-13 04:00:00,4.0,11.0,0.0,21
29,2018-09-13 05:00:00,5.0,42.0,1.8,59
30,2018-09-13 06:00:00,43.0,238.0,11.200000000000001,363
31,2018-09-13 07:00:00,97.0,496.0,36.8,983
32,2018-09-13 08:00:00,202.8436016861406,577.0,20.8,841
33,2018-09-13 09:00:00,218.55164556795268,453.0,19.4,502
34,2018-09-13 10:00:00,202.37463459749966,478.0,34.0,469
35,2018-09-13 11:00:00,139.0,534.0,55.199999999999996,556
36,2018-09-13 12:00:00,174.0,479.0,73.0,512
37,2018-09-13 13:00:00,169.0,405.0,36.2,494
38,2018-09-13 14:00:00,178.0,526.0,43.4,547
39,2018-09-13 15:00:00,168.0,531.0,89.8,611
40,2018-09-13 16:00:00,218.6665907156876,589.0,115.2,950
41,2018-09-13 17:00:00,226.96773333157682,584.0,100.2,1084
42,2018-09-13 18:00:00,97.0,597.0,54.599999999999994,978
43,2018-09-13 19:00:00,78.0,521.0,40.6,656
44,2018-09-13 20:00:00,18.0,294.0,31.599999999999998,353
45,2018-09-13 21:00:00,14.0,227.0,14.0,296
46,2018-09-13 22:00:00,22.0,194.0,4.6,296
47,2018-09-13 23:00:00,26.0,121.0,5.6,152
48,2018-09-14 00:00:00,13.0,60.0,6.8,87
49,2018-09-14 01:00:00,5.0,27.0,0.0,31
50,2018-09-14 02:00:00,0.0,12.0,0.0,0
51,2018-09-14 03:00:00,2.0,12.0,0.0,0
52,2018-09-14 04:00:00,3.0,15.0,0.0,26
53,2018-09-14 05:00:00,3.0,48.0,1.8,71
54,2018-09-14 06:00:00,39.0,198.0,7.0,354
55,2018-09-14 07:00:00,127.0,458.0,43.8,902
56,2018-09-14 08:00:00,269.7999088588251,566.0,19.6,836
57,2018-09-14 09:00:00,368.6067645541605,519.0,27.2,531
58,2018-09-14 10:00:00,345.5446987314424,533.0,27.8,564
59,2018-09-14 11:00:00,338.5446987314424,511.0,38.199999999999996,531
60,2018-09-14 12:00:00,254.97691982927813,502.0,78.0,596
61,2018-09-14 13:00:00,164.0,419.0,35.2,551
62,2018-09-14 14:00:00,144.0,536.0,44.2,617
